GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task3,com.mycompany.supermarket.cashDesk,CashDesk,0,179,0,10,0,33,0,11,0,6
task3,com.mycompany.app,App,11,0,0,0,4,0,2,0,2,0
task3,com.mycompany.supermarket.product.discount,Discount,0,27,0,4,0,9,0,5,0,3
task3,com.mycompany.supermarket.cashDesk.bill,Bill,0,31,0,0,0,13,0,6,0,6
task3,com.mycompany.supermarket.product,Product,8,56,0,2,4,18,2,10,2,9
task3,com.mycompany.supermarket.customer,Customer,0,101,0,4,0,33,0,18,0,16
task3,com.mycompany.supermarket.customer,CustomerHandler,0,185,2,10,0,33,2,11,0,7
task3,com.mycompany.supermarket,SupermarketHandler.new CashDesk.Callback() {...},0,83,0,4,0,13,0,6,0,4
task3,com.mycompany.supermarket,SupermarketHandler.new CustomerHandler.RemoveProductListener() {...},0,12,0,0,0,3,0,2,0,2
task3,com.mycompany.supermarket,SupermarketHandler.new CustomerHandler.RemoveProductListener() {...},0,12,0,0,0,3,0,2,0,2
task3,com.mycompany.supermarket,SupermarketHandler.new CustomerHandler.AddProductListener() {...},0,38,0,0,0,4,0,2,0,2
task3,com.mycompany.supermarket,SupermarketHandler.new CashDesk.CloseListener() {...},0,14,0,0,0,3,0,2,0,2
task3,com.mycompany.supermarket,SupermarketHandler.new CustomerHandler.RemoveProductListener() {...},0,12,0,0,0,3,0,2,0,2
task3,com.mycompany.supermarket,SupermarketSimulator,5,65,0,2,2,15,0,3,0,2
task3,com.mycompany.supermarket,SupermarketHandler,8,860,9,49,3,180,9,50,0,30
task3,com.mycompany.supermarket,Supermarket,0,92,0,4,0,27,0,14,0,12
task3,com.mycompany.supermarket.info.report,Report,0,124,0,4,0,21,0,8,0,6
task3,com.mycompany.supermarket.basket,Basket,0,120,0,10,0,23,0,13,0,8
task3,com.mycompany.supermarket.info.message,Message,3,623,0,2,1,93,1,16,1,15
task3,com.mycompany.supermarket.time,Time,0,76,0,12,0,22,0,11,0,5
task3,com.mycompany.supermarket.cashDesk.paymentMethod,PaymentMethod,3,94,0,4,1,24,1,4,1,2
